benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,F1:transfer/(comp+mem),F2:coalesced/mem,F3:(localmem/mem)*avgws,F4:comp/mem,oracle,runtime,speedup,penalty,runtime_cpu,ci_cpu,ci_mean_cpu,runtime_gpu,ci_gpu,ci_mean_gpu,kernel_nlines,kernel_size
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,1048576,2,2,2,0,2,0,25165824,256,6291456.0,1,0.0,1,CPU,6.017795,1.51,0.66,6.017795,0.875384,0.145466,9.063584,0.027402,0.003023,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,128,2,2,2,0,2,0,3072,128,768.0,1,0.0,1,CPU,0.01042,1.49,0.67,0.01042,0.004794,0.460077,0.015558,0.00405,0.260316,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,131072,2,2,2,0,2,0,3145728,256,786432.0,1,0.0,1,CPU,0.720714,1.49,0.67,0.720714,0.143072,0.198514,1.076262,0.000755,0.000702,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,16384,2,2,2,0,2,0,393216,256,98304.0,1,0.0,1,GPU,0.112698,1.24,0.81,0.139877,0.040094,0.286638,0.112698,0.003247,0.028812,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,2048,2,2,2,0,2,0,49152,256,12288.0,1,0.0,1,GPU,0.019059,3.09,0.32,0.058889,0.017842,0.302977,0.019059,0.004489,0.235532,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,2097152,2,2,2,0,2,0,50331648,256,12582912.0,1,0.0,1,CPU,11.734297,1.59,0.63,11.734297,1.56451,0.133328,18.628448,0.046645,0.002504,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,256,2,2,2,0,2,0,6144,256,1536.0,1,0.0,1,CPU,0.01239,1.27,0.79,0.01239,0.003984,0.32155,0.015744,0.004729,0.300368,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,262144,2,2,2,0,2,0,6291456,256,1572864.0,1,0.0,1,CPU,1.275514,1.67,0.60,1.275514,0.301999,0.236767,2.129478,0.001074,0.000504,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,4096,2,2,2,0,2,0,98304,256,24576.0,1,0.0,1,GPU,0.021389,3.82,0.26,0.081686,0.009058,0.110888,0.021389,0.004568,0.213568,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,4194304,2,2,2,0,2,0,100663296,256,25165824.0,1,0.0,1,CPU,24.965634,1.51,0.66,24.965634,1.142973,0.045782,37.604557,0.219184,0.005829,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,512,2,2,2,0,2,0,12288,256,3072.0,1,0.0,1,GPU,0.015962,2.35,0.42,0.037574,0.016105,0.428621,0.015962,0.004474,0.280291,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,524288,2,2,2,0,2,0,12582912,256,3145728.0,1,0.0,1,CPU,2.978006,1.43,0.70,2.978006,0.493863,0.165837,4.248787,0.000729,0.000172,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,64,2,2,2,0,2,0,1536,64,384.0,1,0.0,1,CPU,0.009457,1.62,0.62,0.009457,0.003298,0.348736,0.015347,0.003706,0.24148,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,65536,2,2,2,0,2,0,1572864,256,393216.0,1,0.0,1,CPU,0.334495,1.64,0.61,0.334495,0.041927,0.125344,0.547706,0.002978,0.005437,12,220
0101fc457f7bea5c550493f1c84afc5ca59c0db8.cl-A,8192,2,2,2,0,2,0,196608,256,49152.0,1,0.0,1,CPU,0.045201,1.04,0.97,0.045201,0.012422,0.274817,0.046835,0.00357,0.076225,12,220
011cb6eaff0d8431d380597d216780676df68344.cl-A,1024,1,1,3,0,2,0,24576,256,6144.0,0.667,0.0,0.333,GPU,0.017421,3.69,0.27,0.064226,0.005532,0.086133,0.017421,0.003616,0.207566,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,1048576,1,1,3,0,2,0,25165824,256,6291456.0,0.667,0.0,0.333,CPU,4.284963,2.10,0.48,4.284963,1.137718,0.265514,8.98551,0.004908,0.000546,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,128,1,1,3,0,2,0,3072,128,768.0,0.667,0.0,0.333,CPU,0.009624,1.62,0.62,0.009624,0.00388,0.403159,0.015558,0.003403,0.21873,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,131072,1,1,3,0,2,0,3145728,256,786432.0,0.667,0.0,0.333,CPU,0.348784,3.05,0.33,0.348784,0.083457,0.23928,1.065178,0.00081,0.00076,8,169
